"#12 V motor (1) Z axis On the table, run at 12 V, using tape",
Time - Voltage - Voltage,Amplitude - Voltage - Voltage
0.66,1.398
0.660667,1.39
0.661333,1.398
0.662,1.395
0.662667,1.398
0.663333,1.395
0.664,1.406
0.664667,1.388
0.665333,1.383
0.666,1.4
0.666667,1.39
0.667333,1.393
0.668,1.406
0.668667,1.4
0.669333,1.39
0.67,1.395
0.670667,1.4
0.671333,1.395
0.672,1.398
0.672667,1.398
0.673333,1.393
0.674,1.383
0.674667,1.398
0.675333,1.395
0.676,1.375
0.676667,1.39
0.677333,1.398
0.678,1.395
0.678667,1.395
0.679333,1.398
0.68,1.39
0.680667,1.385
0.681333,1.4
0.682,1.403
0.682667,1.393
0.683333,1.393
0.684,1.398
0.684667,1.395
0.685333,1.4
0.686,1.39
0.686667,1.393
0.687333,1.385
0.688,1.395
0.688667,1.385
0.689333,1.395
0.69,1.398
0.690667,1.388
0.691333,1.375
0.692,1.39
0.692667,1.398
0.693333,1.395
0.694,1.393
0.694667,1.406
0.695333,1.395
0.696,1.383
0.696667,1.393
0.697333,1.403
0.698,1.406
0.698667,1.406
0.699333,1.4
0.7,1.395
0.700667,1.39
0.701333,1.395
0.702,1.403
0.702667,1.39
0.703333,1.4
0.704,1.403
0.704667,1.385
0.705333,1.388
0.706,1.395
0.706667,1.4
0.707333,1.393
0.708,1.393
0.708667,1.398
0.709333,1.395
0.71,1.385
0.710667,1.406
0.711333,1.393
0.712,1.398
0.712667,1.39
0.713333,1.395
0.714,1.403
0.714667,1.375
0.715333,1.4
0.716,1.395
0.716667,1.4
0.717333,1.395
0.718,1.395
0.718667,1.393
0.719333,1.385
0.72,1.383
0.720667,1.398
0.721333,1.403
0.722,1.4
0.722667,1.388
0.723333,1.39
0.724,1.4
0.724667,1.39
0.725333,1.398
0.726,1.395
0.726667,1.395
0.727333,1.39
0.728,1.413
0.728667,1.393
0.729333,1.395
0.73,1.398
0.730667,1.395
0.731333,1.395
0.732,1.398
0.732667,1.393
0.733333,1.395
0.734,1.395
0.734667,1.393
0.735333,1.388
0.736,1.395
0.736667,1.403
0.737333,1.395
0.738,1.395
0.738667,1.406
0.739333,1.395
0.74,1.39
0.740667,1.39
0.741333,1.406
0.742,1.393
0.742667,1.393
0.743333,1.393
0.744,1.4
0.744667,1.388
0.745333,1.395
0.746,1.411
0.746667,1.395
0.747333,1.406
0.748,1.398
0.748667,1.395
0.749333,1.39
0.75,1.403
0.750667,1.385
0.751333,1.398
0.752,1.39
0.752667,1.398
0.753333,1.395
0.754,1.388
0.754667,1.383
0.755333,1.393
0.756,1.385
0.756667,1.395
0.757333,1.406
0.758,1.398
0.758667,1.395
0.759333,1.398
0.76,1.395
0.760667,1.395
0.761333,1.393
0.762,1.395
0.762667,1.385
0.763333,1.395
0.764,1.398
0.764667,1.39
0.765333,1.395
0.766,1.398
0.766667,1.395
0.767333,1.393
0.768,1.393
0.768667,1.395
0.769333,1.39
0.77,1.385
0.770667,1.403
0.771333,1.403
0.772,1.39
0.772667,1.398
0.773333,1.403
0.774,1.393
0.774667,1.388
0.775333,1.411
0.776,1.398
0.776667,1.395
0.777333,1.395
0.778,1.395
0.778667,1.395
0.779333,1.39
0.78,1.395
0.780667,1.395
0.781333,1.388
0.782,1.406
0.782667,1.393
0.783333,1.39
0.784,1.385
0.784667,1.408
0.785333,1.4
0.786,1.375
0.786667,1.388
0.787333,1.403
0.788,1.395
0.788667,1.388
0.789333,1.4
0.79,1.395
0.790667,1.403
0.791333,1.393
0.792,1.406
0.792667,1.393
0.793333,1.383
0.794,1.416
0.794667,1.398
0.795333,1.388
0.796,1.39
0.796667,1.403
0.797333,1.398
0.798,1.385
0.798667,1.39
0.799333,1.395
0.8,1.383
0.800667,1.403
0.801333,1.395
0.802,1.393
0.802667,1.393
0.803333,1.403
0.804,1.395
0.804667,1.385
0.805333,1.385
0.806,1.398
0.806667,1.395
0.807333,1.388
0.808,1.393
0.808667,1.388
