"#12V motor run at 12V, 60 seconds, x axis",
Time - Voltage - Voltage_0,Amplitude - Voltage - Voltage_0
0.374,3.222m
0.374333,1.949m
0.374667,675.1u
0.375,3.222m
0.375333,1.949m
0.375667,4.496m
0.376,4.496m
0.376333,1.949m
0.376667,1.949m
0.377,-3.146m
0.377333,-3.146m
0.377667,-598.5u
0.378,-1.872m
0.378333,1.949m
0.378667,675.1u
0.379,-1.872m
0.379333,-1.872m
0.379667,-3.146m
0.38,-1.872m
0.380333,1.949m
0.380667,3.222m
0.381,-1.872m
0.381333,-1.872m
0.381667,-5.693m
0.382,-5.693m
0.382333,-3.146m
0.382667,-1.872m
0.383,675.1u
0.383333,-3.146m
0.383667,-1.872m
0.384,-6.966m
0.384333,-5.693m
0.384667,-1.872m
0.385,-1.872m
0.385333,675.1u
0.385667,3.222m
0.386,3.222m
0.386333,1.949m
0.386667,-1.872m
0.387,3.222m
0.387333,3.222m
0.387667,7.043m
0.388,8.316m
0.388333,3.222m
0.388667,3.222m
0.389,1.949m
0.389333,675.1u
0.389667,3.222m
0.39,1.949m
0.390333,4.496m
0.390667,1.949m
0.391,1.949m
0.391333,675.1u
0.391667,1.949m
0.392,675.1u
0.392333,3.222m
0.392667,3.222m
0.393,675.1u
0.393333,-1.872m
0.393667,-3.146m
0.394,-3.146m
0.394333,-598.5u
0.394667,675.1u
0.395,1.949m
0.395333,-598.5u
0.395667,675.1u
0.396,675.1u
0.396333,-598.5u
0.396667,675.1u
0.397,-1.872m
0.397333,675.1u
0.397667,-1.872m
0.398,-3.146m
0.398333,-6.966m
0.398667,-3.146m
0.399,-1.872m
0.399333,-598.5u
0.399667,675.1u
0.4,-1.872m
0.400333,-1.872m
0.400667,-3.146m
0.401,-3.146m
0.401333,675.1u
0.401667,1.949m
0.402,4.496m
0.402333,7.043m
0.402667,3.222m
0.403,3.222m
0.403333,675.1u
0.403667,-598.5u
0.404,3.222m
0.404333,3.222m
0.404667,7.043m
0.405,3.222m
0.405333,1.949m
0.405667,-598.5u
